00000000,fffffffe,00000000
00000000,00000007,00000000
00000001,00000001,00000000
00000001,ffffffff,00000000
00000001,ffffffff,00000000
00000000,fffffffe,00000000
00000000,00000002,00000001
00000001,00000004,00000000
00000006,ffffffff,00000000
00000009,00000001,00000001
00000000,ffffffff,00000000
00000000,0000000b,00000000
00000000,fffffffd,00000000
00000000,fffffffd,00000000
00000000,fffffffe,00000000
00000000,ffffffff,00000000
00000001,ffffffff,00000000
00000000,ffffffff,00000000
00000002,00000001,00000000
00000001,ffffffff,00000000
00000003,00000001,00000001
00000001,00000004,00000000
00000000,00000002,00000000
00000000,00000004,00000000
00000000,00000001,00000000
00000001,00000001,00000001
00000000,00000002,00000000
00000003,00000001,00000000
00000000,00000001,00000000
00000007,00000001,00000000
00000000,00000001,00000000
0000000a,ffffffff,00000000
00000000,00000001,00000000
00000001,00000001,00000001
00000002,00000001,00000001
00000001,00000003,00000001
00000000,fffffffe,00000000
00000000,00000001,00000000
00000001,00000003,00000000
00000001,00000001,00000000
00000001,ffffffff,00000000
00000004,ffffffff,00000000
00000005,00000001,00000001
00000000,fffffffc,00000000
00000000,fffffff7,00000000
00000000,fffffffe,00000000
00000002,ffffffff,00000000
00000000,00000002,00000000
00000000,00000002,00000000
00000000,00000001,00000000
00000000,00000002,00000000
00000000,00000001,00000000
00000006,ffffffff,00000000
00000001,00000001,00000000
00000002,ffffffff,00000000
0000000d,00000001,00000000
0000000a,00000001,00000001
00000000,fffffffd,00000000
00000000,fffffffb,00000000
00000000,ffffffff,00000000
00000000,fffffffd,00000000
00000000,00000001,00000000
00000001,00000001,00000000
0000000a,ffffffff,00000000
00000004,ffffffff,00000001
00000001,00000001,00000000
00000017,ffffffff,00000001
00000001,00000001,00000000
00000017,ffffffff,00000001
00000001,00000001,00000000
00000001,fffffffc,00000000
00000002,00000001,00000000
00000000,00000002,00000000
0000000a,ffffffff,00000001
00000000,00000001,00000000
00000000,00000008,00000000
00000000,ffffffff,00000000
00000004,ffffffff,00000000
00000000,ffffffff,00000000
00000000,00000001,00000000
00000008,00000001,00000000
00000002,ffffffff,00000001
00000000,00000005,00000000
00000000,ffffffff,00000000
00000000,ffffffff,00000000
00000000,00000001,00000000
00000004,00000001,00000000
00000000,ffffffff,00000001
00000000,ffffffff,00000000
00000000,fffffffd,00000000
00000000,fffffffe,00000000
00000004,ffffffff,00000000
00000000,00000002,00000000
00000001,00000001,00000000
00000000,ffffffff,00000000
00000007,fffffffe,00000000
00000002,ffffffff,00000001
00000002,00000001,00000000
00000019,00000001,00000001
00000002,00000001,00000000
00000016,ffffffff,00000001
00000001,00000006,00000000
