enc_frame_num: 0
MB cbp: 3f
MB cbp: 3f
MB cbp: f
MB cbp: 1f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3d
MB cbp: 3f
MB cbp: 3f
MB cbp: 3d
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3e
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 37
MB cbp: 3f
MB cbp: 3f
MB cbp: 37
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 2f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
MB cbp: 3f
enc_frame_num: 1
